TimeStamp,RealTime,LeftPupilDiameter,RightPupilDiameter,EyePosition,EyeRotation,EyeDirection,VergencePosition,HeadRotation,MarkerEyePosition,MarkerEyeRotation,MarkerEyeDirection,MarkerVergencePosition,MarkerHeadRotation,LeftEyeOpenness,RightEyeOpenness,GazeTarget,Situation,SituationRecognized,StartCompression
0,7187692,0.0048,0.0048,(-0.753| -0.818| 0.463),(0.470| 0.561| -0.379| 0.567),(0.280| -0.958| -0.070),(-0.609| -1.312| 0.427),(0.469| 0.544| -0.398| 0.571),(1.686| -1.820| -5.128),(0.133| -0.019| 0.024| -0.991),(0.043| 0.262| 0.964),(1.873| -0.693| -0.986),(0.119| 0.003| 0.023| -0.993),0.964,0.97,None,0,0,0
0,7187708,0.0043,0.0048,(-0.752| -0.818| 0.463),(-0.485| -0.574| 0.369| -0.547),(0.270| -0.954| -0.130),(-0.613| -1.312| 0.396),(0.468| 0.544| -0.398| 0.571),(1.689| -1.811| -5.127),(-0.125| 0.048| -0.028| 0.991),(0.102| 0.244| 0.964),(2.129| -0.759| -0.969),(0.120| 0.003| 0.023| -0.993),0.97,0.964,None,0,0,0
0,7187725,0.0043,0.0049,(-0.751| -0.817| 0.463),(0.453| 0.575| -0.361| 0.578),(0.338| -0.938| -0.073),(-0.578| -1.299| 0.426),(0.468| 0.544| -0.397| 0.572),(1.689| -1.805| -5.132),(0.163| -0.024| 0.026| -0.986),(0.056| 0.319| 0.946),(1.928| -0.439| -1.088),(0.120| 0.003| 0.023| -0.992),0.978,0.978,CompressionStatsText,0,0,0
0,7187742,0.0043,0.0049,(-0.750| -0.818| 0.463),(-0.472| -0.571| 0.370| -0.561),(0.291| -0.952| -0.097),(-0.644| -1.163| 0.428),(0.467| 0.544| -0.397| 0.572),(1.692| -1.796| -5.130),(-0.137| 0.033| -0.027| 0.990),(0.072| 0.270| 0.960),(1.910| -0.978| -2.224),(0.121| 0.003| 0.023| -0.992),0.996,0.983,None,0,0,0
0,7187758,0.0045,0.0048,(-0.749| -0.817| 0.463),(0.456| 0.571| -0.367| 0.576),(0.323| -0.944| -0.068),(-0.590| -1.284| 0.429),(0.467| 0.544| -0.397| 0.573),(1.692| -1.788| -5.134),(0.155| -0.021| 0.026| -0.987),(0.049| 0.305| 0.951),(1.893| -0.530| -1.215),(0.121| 0.004| 0.023| -0.992),0.991,0.988,CompressionStatsText,0,0,0
0,7187775,0.0045,0.0048,(-0.749| -0.817| 0.463),(0.457| 0.570| -0.367| 0.575),(0.321| -0.945| -0.068),(-0.589| -1.286| 0.430),(0.467| 0.544| -0.398| 0.573),(1.692| -1.781| -5.134),(0.154| -0.020| 0.026| -0.988),(0.048| 0.303| 0.952),(1.891| -0.527| -1.201),(0.121| 0.004| 0.023| -0.992),0.99,0.998,CompressionCountText,0,0,0
0,7187792,0.0047,0.0048,(-0.748| -0.817| 0.463),(0.458| 0.569| -0.370| 0.574),(0.314| -0.947| -0.067),(-0.576| -1.334| 0.427),(0.467| 0.543| -0.398| 0.573),(1.691| -1.774| -5.132),(0.151| -0.020| 0.026| -0.988),(0.047| 0.297| 0.954),(1.903| -0.425| -0.799),(0.120| 0.005| 0.022| -0.992),0.996,0.991,CompressionCountText,0,0,0
0,7187808,0.0043,0.0048,(-0.747| -0.818| 0.463),(0.455| 0.573| -0.365| 0.576),(0.328| -0.942| -0.070),(-0.568| -1.332| 0.425),(0.468| 0.542| -0.398| 0.573),(1.691| -1.769| -5.129),(0.158| -0.022| 0.026| -0.987),(0.051| 0.311| 0.949),(1.925| -0.356| -0.812),(0.120| 0.005| 0.022| -0.993),0.999,0.988,CompressionStatsText,0,0,0
0,7187825,0.0046,0.0047,(-0.747| -0.819| 0.463),(0.448| 0.580| -0.355| 0.581),(0.356| -0.932| -0.072),(-0.563| -1.299| 0.426),(0.468| 0.542| -0.399| 0.573),(1.694| -1.766| -5.121),(0.172| -0.025| 0.026| -0.984),(0.058| 0.338| 0.939),(1.944| -0.317| -1.088),(0.119| 0.006| 0.022| -0.993),1,0.976,CompressionStatsText,0,0,0
0,7187842,0.0047,0.0048,(-0.746| -0.819| 0.463),(-0.445| -0.587| 0.346| -0.581),(0.375| -0.923| -0.086),(-0.453| -1.542| 0.396),(0.468| 0.542| -0.399| 0.572),(1.694| -1.763| -5.116),(-0.181| 0.033| -0.027| 0.983),(0.075| 0.354| 0.932),(2.180| 0.548| 0.964),(0.119| 0.005| 0.023| -0.993),1,0.988,SpeedGauge,0,0,0
