TimeStamp,RealTime,LeftPupilDiameter,RightPupilDiameter,EyePosition,EyeRotation,EyeDirection,VergencePosition,HeadRotation,MarkerEyePosition,MarkerEyeRotation,MarkerEyeDirection,MarkerVergencePosition,MarkerHeadRotation,LeftEyeOpenness,RightEyeOpenness,GazeTarget,Situation,SituationRecognized,StartCompression
0,7054128,0.004,0.0041,(-0.968| -0.675| 0.368),(0.431| 0.569| -0.390| 0.581),(0.325| -0.945| -0.020),(-0.782| -1.216| 0.357),(0.338| 0.615| -0.306| 0.644),(1.917| -3.788| -6.869),(0.165| -0.002| -0.005| -0.986),(0.002| 0.326| 0.946),(1.928| -2.236| -2.361),(0.308| 0.007| -0.007| -0.951),1,0.994,None,0,0,0
0,7054144,0.004,0.0041,(-0.978| -0.666| 0.368),(0.429| 0.572| -0.386| 0.583),(0.336| -0.942| -0.022),(-0.787| -1.203| 0.355),(0.333| 0.618| -0.301| 0.646),(1.919| -3.877| -6.944),(0.171| -0.004| -0.004| -0.985),(0.005| 0.336| 0.942),(1.945| -2.279| -2.469),(0.316| 0.007| -0.007| -0.949),0.996,0.992,None,0,0,0
0,7054161,0.0041,0.0039,(-0.989| -0.657| 0.367),(0.426| 0.571| -0.386| 0.586),(0.340| -0.940| -0.016),(-0.799| -1.181| 0.358),(0.327| 0.621| -0.295| 0.648),(1.922| -3.963| -7.014),(0.173| -0.001| -0.005| -0.985),(0.000| 0.341| 0.940),(1.921| -2.380| -2.650),(0.325| 0.006| -0.006| -0.946),0.996,0.986,None,0,0,0
0,7054178,0.0042,0.0041,(-0.999| -0.650| 0.366),(0.424| 0.571| -0.385| 0.588),(0.345| -0.939| -0.013),(-0.763| -1.290| 0.357),(0.319| 0.625| -0.288| 0.651),(1.926| -4.048| -7.078),(0.175| 0.001| -0.006| -0.984),(-0.003| 0.346| 0.938),(1.908| -2.083| -1.741),(0.335| 0.006| -0.005| -0.942),1,0.992,None,0,0,0
0,7054194,0.0041,0.0039,(-1.009| -0.643| 0.366),(0.421| 0.573| -0.383| 0.590),(0.354| -0.935| -0.012),(-0.799| -1.198| 0.359),(0.312| 0.629| -0.281| 0.654),(1.928| -4.130| -7.135),(0.180| 0.001| -0.005| -0.984),(-0.004| 0.354| 0.935),(1.907| -2.377| -2.507),(0.346| 0.005| -0.004| -0.938),1,0.993,None,0,0,0
0,7054211,0.004,0.004,(-1.018| -0.637| 0.365),(0.420| 0.577| -0.380| 0.589),(0.359| -0.933| -0.018),(-0.762| -1.301| 0.352),(0.306| 0.632| -0.274| 0.657),(1.931| -4.210| -7.186),(0.183| -0.002| -0.004| -0.983),(0.003| 0.360| 0.933),(1.947| -2.073| -1.647),(0.355| 0.004| -0.004| -0.935),0.999,1,None,0,0,0
0,7054228,0.004,0.0039,(-1.027| -0.631| 0.365),(0.418| 0.576| -0.379| 0.591),(0.364| -0.931| -0.013),(-0.814| -1.177| 0.357),(0.300| 0.636| -0.268| 0.659),(1.934| -4.287| -7.231),(0.186| 0.000| -0.004| -0.983),(-0.002| 0.365| 0.931),(1.922| -2.506| -2.686),(0.364| 0.003| -0.003| -0.931),0.995,0.996,None,0,0,0
0,7054244,0.004,0.004,(-1.036| -0.627| 0.364),(0.416| 0.577| -0.379| 0.593),(0.368| -0.930| -0.011),(-0.823| -1.165| 0.358),(0.295| 0.639| -0.263| 0.660),(1.938| -4.362| -7.268),(0.188| 0.001| -0.004| -0.982),(-0.004| 0.369| 0.929),(1.918| -2.581| -2.784),(0.371| 0.002| -0.002| -0.929),0.993,0.995,None,0,0,0
0,7054261,0.004,0.0041,(-1.045| -0.623| 0.364),(0.413| 0.581| -0.375| 0.592),(0.379| -0.925| -0.017),(-0.811| -1.196| 0.353),(0.292| 0.642| -0.261| 0.660),(1.941| -4.437| -7.298),(0.193| -0.002| -0.003| -0.981),(0.003| 0.379| 0.925),(1.954| -2.483| -2.529),(0.375| 0.001| 0.000| -0.927),1,0.996,None,0,0,0
0,7054278,0.004,0.004,(-1.054| -0.621| 0.363),(0.411| 0.583| -0.373| 0.594),(0.385| -0.923| -0.017),(-0.859| -1.089| 0.354),(0.291| 0.643| -0.261| 0.658),(1.946| -4.511| -7.319),(0.197| -0.002| -0.002| -0.980),(0.002| 0.386| 0.923),(1.956| -2.878| -3.414),(0.375| 0.000| 0.002| -0.927),0.992,0.999,None,0,0,0
